asmhooks 0x2dfcc
asminventoryToPauseHooks 0x28cc4
asminventoryToGameplayHooks 0x28cf0
asminventoryToCreditsHooks 0x27588
asmopenInventoryHooks 0x2673c
asmcheats 0x27764
asmbeforeInventoryUpdateHooks 0x2da64
asmbeforePauseMenuUpdateHooks 0x2da4c
asmbeforeHUDUpdateHooks 0x2dcd0
asmHUDUpdateReturnHooks 0x4fd78
asmquitGames 0x280e0
asmmenuTextHooks 0x15de8
asmbeforeMenuTextHooks 0x18db4
asmbeforeDeathHooks 0x44a78
asmdontDrawText1_pals 0x185a8
asmdontDrawText2_pals 0x18618
asmdisableChargeSound_pals 0x39464
asmoverwriteRawInputss 0x63560
asmexitLevelHooks 0x28a04
asmstopSoundHooks 0x265a8
asmstopSoundHook2s 0x2d2ec
asmfairyFixs 0x26c84
Header 0x0
DragonAndFairyUpdate 0x292fc
DrawDragonAndFairyText 0x16864
MemoryCardArea 0x60bfc
